number,value,user_attrs_final_train_acc,user_attrs_final_val_acc,user_attrs_best_train_acc,user_attrs_best_epoch,params_lr,params_weight_decay,state
13,0.822,0.9793333333333333,0.806,0.9748888888888889,92,0.0008486204276964593,0.0014430863416313136,COMPLETE
15,0.816,0.976,0.802,0.9784444444444444,90,0.0007954440964208695,0.0017336884309406793,COMPLETE
11,0.81,0.9797777777777777,0.794,0.9431111111111111,73,0.000812453224865605,0.0012287427982298565,COMPLETE
0,0.808,0.9748888888888889,0.806,0.9617777777777777,82,0.0008907294703368605,0.0014850532872575446,COMPLETE
1,0.806,0.9842222222222222,0.786,0.9804444444444445,89,0.0007037520523779667,0.0010086356184300282,COMPLETE
9,0.804,0.9815555555555555,0.8,0.9771111111111112,91,0.0007450782962094296,0.0012024834318682112,COMPLETE
12,0.804,0.9802222222222222,0.792,0.9713333333333334,89,0.0008109255231850307,0.0013944987527186178,COMPLETE
17,0.804,0.9768888888888889,0.786,0.9702222222222222,85,0.0007795097483084045,0.0020769246726112427,COMPLETE
14,0.802,0.9786666666666667,0.79,0.9746666666666667,91,0.0008256557554969243,0.001370513839360177,COMPLETE
4,0.8,0.984,0.79,0.9817777777777777,91,0.0010533755854217725,0.0004708918825679,COMPLETE
2,0.798,0.9728888888888889,0.782,0.9702222222222222,90,0.0010885756085555818,0.00110108267988222,COMPLETE
5,0.796,0.9817777777777777,0.786,0.9813333333333333,90,0.0011590217935764943,0.0005714724357959931,COMPLETE
6,0.796,0.9635555555555556,0.788,0.94,83,0.0011167531099888842,0.0017364128978855373,COMPLETE
7,0.796,0.9611111111111111,0.784,0.9544444444444444,92,0.000932613424745309,0.002669368947701299,COMPLETE
8,0.794,0.9615555555555556,0.782,0.9537777777777777,87,0.0009396731275059753,0.002264401209028501,COMPLETE
3,0.79,0.9902222222222222,0.78,0.9862222222222222,89,0.0006726131462432318,0.0004912058710510054,COMPLETE
16,0.786,0.9717777777777777,0.78,0.9733333333333334,93,0.0008642452929795066,0.0019057494044187886,COMPLETE
10,0.784,0.9468888888888889,0.78,0.926,85,0.0013642793850716817,0.0017242913924180067,COMPLETE
